Student_ID,Gender,Age,Study_Hours_Per_Day,Attendance_Percentage,Previous_Exam_Score,Assignments_Completed,Sleep_Hours,Internet_Usage_Hours,Social_Media_Hours,Extra_Curricular,Family_Income,Parental_Education,Distance_From_College_km,Class_Participation,Stress_Level,Final_Exam_Score
41,Male,24,3.1,94.6,79.2,8,7.0,4.6,1.7,No,Medium,High School,3.7,4,7,56.4
42,Female,21,2.2,86.1,54.3,18,6.2,4.9,2.7,No,Medium,High School,4.5,9,6,58.9
43,Male,20,1.9,60.4,68.8,5,5.4,6.2,2.3,No,Low,Graduate,6.2,10,9,45.6
44,Female,24,0.6,79.0,52.3,1,7.0,5.9,1.3,No,Medium,Graduate,6.3,8,2,43.4
45,Female,18,0.9,97.3,65.1,2,6.3,1.5,4.6,Yes,Low,Postgraduate,23.2,1,3,35.3
46,Male,18,5.0,90.6,49.2,16,6.2,7.4,2.4,Yes,High,High School,8.7,10,7,67.8
47,Female,24,1.1,65.8,69.8,5,4.5,4.2,4.4,Yes,High,High School,27.8,5,1,41.4
48,Male,21,6.4,83.1,76.7,6,6.4,4.8,4.7,No,Medium,High School,14.6,5,3,66.6
49,Male,18,2.8,73.1,52.2,17,6.7,1.6,0.8,Yes,High,Postgraduate,18.0,7,6,57.7
50,Female,24,0.7,89.4,86.7,18,4.7,6.3,3.6,Yes,Medium,Graduate,12.8,8,5,59.6
51,Female,21,2.9,59.7,45.1,13,7.6,3.0,6.6,No,Low,Graduate,26.1,9,1,54.7
52,Male,21,6.7,55.1,89.8,14,6.4,2.3,2.9,Yes,Medium,Graduate,26.5,8,8,79.2
53,Male,24,4.1,56.3,74.7,7,7.7,3.2,0.6,Yes,High,High School,15.5,7,2,58.0
54,Male,18,5.9,77.9,52.2,15,8.9,2.7,4.1,No,Medium,Graduate,28.1,7,4,75.1
55,Female,22,4.3,91.9,52.8,9,8.3,5.1,4.8,No,Medium,Graduate,26.2,3,8,52.1
56,Male,24,7.9,65.7,59.1,13,4.7,6.2,5.1,Yes,Low,Postgraduate,29.0,7,7,77.3
57,Female,22,3.0,59.5,88.2,3,6.9,4.2,5.2,No,High,High School,25.7,7,3,50.7
58,Male,21,6.9,93.7,58.9,10,7.3,7.2,3.7,Yes,High,High School,13.6,9,1,82.2
59,Female,23,1.2,83.5,90.0,14,5.2,3.1,0.7,Yes,Low,Postgraduate,12.9,6,1,61.6
60,Female,24,5.6,63.1,46.0,19,8.4,5.3,2.1,No,High,High School,27.1,10,3,70.9
61,Female,20,4.0,67.9,69.4,2,6.5,3.4,4.3,No,Medium,High School,7.9,7,5,52.5
62,Male,24,4.8,80.9,97.5,9,4.6,6.8,3.1,No,Low,Postgraduate,24.3,1,10,63.1
63,Female,19,2.1,63.6,50.8,4,7.3,7.3,4.7,Yes,Medium,Graduate,22.7,5,8,30.1
64,Female,22,1.8,60.9,69.0,11,6.9,7.4,5.9,Yes,Medium,High School,5.1,5,8,48.3
65,Male,24,7.7,93.7,80.6,12,8.9,6.6,2.9,No,High,Postgraduate,20.5,7,1,87.5
66,Male,18,4.9,92.0,94.2,3,7.5,4.3,4.5,No,High,Graduate,19.8,9,6,74.2
67,Female,19,1.4,57.0,37.3,15,5.0,2.6,4.0,No,High,High School,25.2,7,8,37.9
68,Female,22,5.1,97.3,52.6,11,5.5,4.1,2.0,Yes,Medium,Graduate,6.5,6,2,73.4
69,Male,18,1.4,93.2,63.6,6,7.4,5.2,0.6,Yes,High,High School,24.6,6,4,53.6
70,Male,18,2.2,89.8,84.7,19,4.5,7.0,1.4,Yes,Low,High School,11.4,3,9,56.4
71,Female,18,6.4,81.5,36.0,8,4.7,6.2,3.9,No,High,High School,28.4,2,8,51.1
72,Male,24,0.8,90.2,89.6,16,5.9,5.5,0.7,No,Low,High School,10.3,8,7,60.2
73,Female,18,1.6,60.7,74.3,18,7.0,3.3,7.0,Yes,High,Postgraduate,26.5,9,5,57.4
74,Female,22,4.6,93.9,62.1,7,6.4,6.8,3.1,Yes,High,Graduate,2.9,2,6,55.0
75,Male,23,6.7,59.2,41.1,11,8.2,4.9,4.3,No,High,Graduate,26.2,9,9,59.2
76,Female,22,5.9,98.6,72.8,11,5.0,4.6,1.5,Yes,Medium,Postgraduate,7.6,8,4,81.0
77,Female,22,3.7,80.2,83.3,19,7.3,5.5,0.7,No,Low,High School,26.2,5,1,72.1
78,Male,22,4.7,73.0,43.9,20,8.9,1.6,3.9,No,High,Graduate,23.5,7,7,63.4
79,Female,23,4.8,58.8,38.3,5,7.9,1.3,1.0,No,Low,Postgraduate,4.3,8,7,47.7
80,Female,20,3.7,67.7,77.7,15,6.9,3.2,1.9,Yes,Medium,Graduate,10.5,10,1,69.0
81,Male,23,0.6,88.6,46.1,12,6.9,2.6,4.1,Yes,Medium,High School,26.0,6,2,46.1
82,Female,18,4.8,80.8,79.7,13,5.8,3.8,6.8,No,Low,High School,13.6,3,10,59.0
83,Female,22,3.5,58.5,89.8,10,5.5,6.5,1.0,Yes,Low,High School,5.2,2,9,52.0
84,Female,22,2.0,82.1,82.9,20,4.8,7.7,4.6,No,Low,Graduate,3.0,8,10,64.5
85,Female,18,3.8,68.6,52.3,1,6.1,1.5,3.5,Yes,High,Postgraduate,15.7,1,1,42.6
86,Male,17,4.0,79.9,84.9,1,6.5,6.7,4.7,No,Low,Graduate,29.5,6,10,51.3
87,Female,23,1.1,84.1,37.5,14,9.0,4.7,4.5,No,High,Postgraduate,2.5,6,6,47.3
88,Male,22,5.2,70.1,55.8,17,7.6,3.0,5.2,No,High,Postgraduate,20.2,10,3,71.6
89,Female,22,1.5,86.9,40.3,17,6.2,6.5,5.8,Yes,Medium,Graduate,6.2,9,2,57.3
90,Male,22,2.1,97.6,65.6,7,9.0,2.1,2.4,Yes,High,Graduate,5.5,2,9,46.3
91,Female,20,1.9,86.2,74.4,5,7.7,1.3,2.9,Yes,Medium,Graduate,27.2,4,8,45.9
92,Male,19,2.0,85.5,70.9,14,6.6,3.0,3.0,No,Low,Postgraduate,14.9,9,7,64.0
93,Male,23,3.3,97.0,79.8,16,8.3,3.0,5.5,Yes,Low,Graduate,26.7,5,8,68.3
94,Female,19,7.5,73.7,60.0,11,5.6,8.0,2.9,Yes,Low,Graduate,27.6,1,6,70.4
95,Female,18,4.0,92.4,82.8,15,6.5,1.0,1.0,No,Low,Graduate,4.5,5,4,75.1
96,Male,21,2.3,83.8,74.2,2,5.0,7.3,4.4,No,Low,Postgraduate,11.2,1,9,38.6
97,Female,24,4.8,63.4,77.1,16,8.9,1.5,3.9,Yes,High,Graduate,29.5,9,9,69.0
98,Female,22,2.4,55.7,84.7,11,5.6,5.6,1.2,Yes,High,Graduate,29.4,10,6,55.5
99,Female,24,4.1,63.2,43.5,14,4.7,2.4,5.6,No,Low,Postgraduate,6.5,1,6,50.4
100,Female,22,3.2,90.1,89.5,10,5.7,6.6,3.3,Yes,Medium,Postgraduate,15.4,7,8,67.3
101,Male,22,7.4,78.4,85.5,13,4.9,5.2,5.8,No,Medium,Graduate,18.5,9,5,82.5
102,Male,18,3.7,86.0,57.1,1,7.8,7.4,4.5,No,Medium,Postgraduate,24.2,7,5,51.9
103,Male,19,5.6,97.9,44.0,19,7.6,4.1,1.3,No,Medium,Graduate,13.9,4,6,67.4
104,Male,21,1.1,61.2,58.1,10,7.4,2.7,1.2,No,High,Graduate,7.2,3,8,35.9
105,Female,22,5.1,86.2,97.9,6,5.1,7.0,3.4,Yes,High,Postgraduate,9.4,8,2,79.9
106,Female,17,2.7,62.1,79.7,20,5.3,3.5,2.0,No,High,Postgraduate,11.7,4,3,61.5
107,Female,18,6.5,79.8,73.6,2,4.8,3.8,5.2,Yes,Medium,Postgraduate,3.2,8,9,61.3
108,Male,18,4.0,78.3,43.1,17,7.4,2.3,6.8,Yes,Medium,High School,5.7,7,9,58.9
109,Female,18,7.5,65.1,94.7,16,8.5,6.9,2.1,Yes,High,Postgraduate,5.5,9,5,85.7
110,Female,17,5.4,87.4,73.1,18,4.7,7.0,1.0,No,High,Postgraduate,9.4,10,5,82.3
111,Male,22,7.7,76.7,85.7,12,5.8,1.5,0.9,Yes,Medium,Postgraduate,10.3,8,7,82.7
112,Male,18,7.9,70.5,60.1,11,6.8,1.7,2.1,Yes,Medium,Graduate,26.1,2,5,69.0
113,Female,24,3.6,98.3,91.8,10,8.7,6.0,1.7,No,Medium,High School,3.6,3,8,67.3
114,Male,23,3.4,75.6,50.2,18,6.1,1.4,3.7,Yes,Medium,Postgraduate,11.6,8,5,62.6
115,Female,18,3.5,57.0,38.2,17,5.4,4.9,1.0,Yes,Low,Graduate,11.8,9,8,55.5
116,Female,24,7.9,80.1,58.0,4,5.4,4.6,3.8,No,Low,Postgraduate,26.9,1,1,63.8
117,Female,21,1.5,96.9,55.1,12,9.0,6.2,2.4,No,Low,Graduate,10.6,6,9,50.6
118,Male,24,1.3,73.7,54.4,20,4.6,4.3,6.8,Yes,High,Postgraduate,21.9,10,10,47.4
119,Male,23,6.3,72.1,86.8,7,4.6,7.6,1.2,Yes,Medium,Postgraduate,23.5,1,8,59.7
120,Male,24,7.4,94.3,81.4,1,7.7,4.6,4.1,No,High,Graduate,20.6,8,9,70.1
121,Female,21,7.0,85.6,85.6,8,7.2,2.3,2.1,Yes,High,Postgraduate,15.2,9,5,78.5
122,Male,21,4.1,80.2,93.9,8,5.8,5.0,4.0,Yes,Medium,Postgraduate,3.3,7,6,71.5
123,Male,20,7.4,84.5,82.1,6,5.4,4.8,6.6,Yes,High,Postgraduate,7.5,5,3,71.6
124,Female,24,2.2,59.5,55.8,15,5.0,6.4,0.5,Yes,Medium,Graduate,9.3,9,3,55.1
125,Male,17,0.9,89.6,76.1,7,6.9,6.1,6.6,No,Medium,High School,28.2,3,7,45.4
126,Female,19,7.7,96.7,90.2,0,5.8,5.2,6.5,No,Medium,High School,24.5,6,5,74.5
127,Female,23,3.0,87.9,75.8,5,4.6,3.4,2.4,No,Low,Graduate,20.4,4,3,55.9
128,Male,21,1.9,61.3,55.4,7,4.5,3.7,3.4,No,High,High School,2.8,5,6,37.2
129,Male,20,1.4,68.8,60.5,16,8.7,7.2,5.5,Yes,Medium,High School,14.2,2,5,44.1
130,Male,24,7.9,71.8,79.2,15,7.9,6.6,5.9,No,Low,Postgraduate,4.3,4,10,78.0
131,Female,18,6.7,95.6,47.7,17,5.2,3.3,3.9,No,Low,Graduate,4.8,2,4,73.9
132,Female,22,3.6,80.4,70.2,9,7.8,3.8,5.8,Yes,High,High School,28.1,4,10,45.6
133,Female,24,1.0,97.0,37.0,13,5.3,1.9,4.7,No,Medium,High School,20.8,7,6,49.8
134,Male,21,5.5,79.3,76.2,11,5.0,7.9,3.1,No,High,Postgraduate,16.8,3,4,70.7
135,Female,17,4.5,92.1,50.6,11,5.2,2.3,6.2,Yes,Low,High School,3.9,2,1,62.1
136,Male,19,0.8,81.9,79.3,1,5.6,1.3,3.4,No,Low,Postgraduate,17.7,9,4,50.1
137,Male,19,4.8,89.8,86.6,7,5.9,2.0,4.8,No,High,Graduate,2.4,4,7,61.4
138,Female,20,3.1,83.9,59.0,16,5.9,3.9,1.5,Yes,Medium,Postgraduate,5.2,7,3,66.7
139,Female,22,4.0,57.6,61.0,13,7.0,1.9,2.1,Yes,High,Postgraduate,25.1,4,6,55.6
140,Female,21,0.9,72.0,73.1,1,8.4,2.3,5.5,Yes,Low,High School,28.9,9,4,43.3
141,Female,23,1.4,100.0,65.2,7,7.6,5.9,3.1,No,High,Postgraduate,11.4,4,9,41.6
142,Female,17,2.5,78.1,66.3,3,8.1,6.1,5.5,Yes,High,High School,1.5,6,4,46.3
143,Female,21,4.6,81.3,80.4,9,5.2,3.3,3.0,No,High,Postgraduate,22.4,4,8,60.8
144,Male,17,4.0,88.0,57.2,4,7.7,4.4,6.5,Yes,Medium,High School,25.4,9,1,60.4
145,Male,17,2.2,86.8,35.6,16,6.6,1.4,4.6,No,Low,High School,16.4,10,8,53.6
146,Male,21,2.6,99.0,36.1,13,8.1,7.4,1.2,No,Medium,Graduate,3.3,2,9,39.5
147,Female,24,7.7,75.7,50.3,7,5.8,6.8,1.0,Yes,High,High School,21.4,1,2,64.4
148,Female,21,1.1,93.0,75.6,10,7.0,7.0,1.1,Yes,Low,Postgraduate,27.8,9,1,58.5
149,Male,23,7.2,80.4,37.1,10,4.6,2.5,1.4,No,Medium,Postgraduate,5.1,7,2,67.4
150,Female,22,7.9,87.6,66.5,11,4.7,4.1,6.0,Yes,High,Graduate,23.7,6,10,74.2
151,Male,18,3.9,65.3,69.8,12,6.4,5.8,4.8,Yes,Medium,High School,12.0,2,10,47.3
152,Male,19,6.4,61.9,59.5,11,5.0,1.0,2.5,No,Medium,Postgraduate,17.1,6,5,61.8
153,Male,20,3.6,56.2,57.3,2,7.2,6.5,6.1,Yes,High,Graduate,5.9,1,5,36.4
154,Male,24,2.5,67.1,44.2,5,6.5,3.9,3.6,Yes,Medium,High School,4.9,2,6,32.8
155,Male,24,0.6,72.8,88.0,12,8.1,3.3,2.7,No,Low,Graduate,29.1,10,3,57.8
156,Male,19,2.7,86.3,65.9,18,8.0,3.3,2.3,Yes,High,Graduate,28.3,7,6,59.5
157,Male,21,2.1,90.9,87.4,2,8.2,6.6,3.2,Yes,High,Graduate,23.9,8,3,59.1
158,Female,18,1.1,99.6,65.2,12,6.9,7.5,6.2,Yes,Low,Postgraduate,20.3,7,9,43.9
159,Female,20,1.7,82.6,70.5,20,7.5,3.8,5.4,Yes,Medium,Graduate,12.3,7,2,60.1
160,Male,22,6.3,81.5,66.5,11,9.0,4.4,2.4,No,Medium,Graduate,23.7,2,2,73.2
161,Male,19,4.4,70.7,41.2,14,5.9,3.1,5.8,Yes,High,High School,17.0,2,1,58.9
162,Male,24,3.0,74.2,64.1,12,7.3,2.3,4.8,No,Medium,High School,21.4,7,1,63.8
163,Male,21,2.0,88.9,85.9,2,7.1,6.6,4.0,No,High,Postgraduate,10.1,6,6,47.8
164,Male,22,3.4,72.7,42.2,11,8.3,5.3,5.8,Yes,Low,Graduate,4.4,5,10,43.7
165,Female,21,3.3,61.4,59.5,19,5.1,3.7,1.7,Yes,Low,Graduate,25.4,9,3,66.3
166,Female,23,5.1,93.9,95.0,15,5.1,6.7,6.8,No,Medium,High School,3.4,9,8,77.2
167,Male,18,0.7,89.2,53.4,8,5.5,3.0,5.6,No,High,Graduate,16.7,10,8,43.7
168,Male,24,6.2,89.2,62.8,6,9.0,1.7,5.9,No,Medium,High School,13.7,4,5,66.8
169,Male,20,8.0,89.9,49.9,18,7.6,7.0,4.5,Yes,High,Graduate,16.4,7,3,85.9
170,Female,17,5.0,62.6,96.7,9,5.8,2.9,6.1,No,High,High School,21.3,2,3,69.7
171,Female,24,1.5,61.6,55.3,7,7.9,5.7,3.7,Yes,High,High School,12.7,10,5,47.0
172,Female,18,6.1,86.3,90.3,14,8.8,3.3,0.5,No,Low,Graduate,24.9,2,8,74.0
173,Female,17,4.2,69.5,52.9,17,7.1,5.0,3.7,Yes,Low,Graduate,14.2,6,1,61.8
174,Female,18,7.9,74.3,97.7,4,8.5,3.1,6.2,No,High,Postgraduate,5.8,5,2,81.3
175,Male,24,3.5,68.7,79.1,7,6.4,1.6,1.1,Yes,Low,Postgraduate,11.0,4,8,47.3
176,Female,19,1.4,93.7,78.7,15,4.8,3.7,5.2,No,Low,Postgraduate,29.8,2,2,55.1
177,Female,20,1.6,78.9,35.5,20,5.2,3.5,1.9,Yes,Low,High School,22.8,3,7,45.6
178,Female,17,4.9,72.3,95.7,10,8.1,2.7,4.7,No,Low,Postgraduate,18.6,4,9,64.8
179,Male,22,1.9,72.6,75.7,7,6.7,1.8,3.7,No,Low,Graduate,26.0,10,2,58.6
180,Male,17,4.8,71.4,78.0,15,8.8,6.4,0.6,No,High,Graduate,19.2,2,1,67.3
181,Male,19,4.3,73.7,79.2,2,7.4,4.8,1.5,No,Medium,Postgraduate,19.4,2,5,48.0
182,Male,21,6.8,85.6,39.2,13,7.8,6.9,0.9,Yes,Low,High School,21.5,2,7,57.5
183,Female,18,5.8,62.4,95.0,16,6.8,6.8,2.2,Yes,Medium,Graduate,8.9,6,3,83.0
184,Female,18,1.0,87.1,71.3,2,6.7,4.6,0.9,Yes,Low,Postgraduate,15.8,10,3,49.0
185,Female,20,0.8,93.8,50.4,15,6.1,7.4,1.7,No,Low,Graduate,27.6,1,9,42.2
186,Male,24,2.9,92.2,71.0,3,6.8,7.3,1.7,No,Medium,Graduate,3.5,9,1,65.6
187,Male,19,3.9,71.6,53.4,9,7.8,2.7,2.9,Yes,Medium,High School,7.8,8,4,59.8
188,Male,23,3.1,92.8,90.3,10,4.5,5.6,6.0,No,Low,High School,21.6,5,2,62.5
189,Male,23,1.2,96.5,91.5,16,6.4,7.3,3.5,Yes,High,Postgraduate,2.8,2,10,49.8
190,Male,18,5.5,60.9,53.4,10,8.7,3.8,5.9,Yes,Low,Postgraduate,4.2,6,6,56.8
191,Male,18,1.3,75.2,54.8,3,6.9,7.8,1.8,Yes,High,Graduate,25.0,5,8,31.9
192,Female,21,5.7,56.8,87.7,10,5.2,6.0,6.8,Yes,Low,Graduate,25.8,7,9,59.4
193,Female,22,4.7,79.8,41.0,3,8.1,2.0,0.6,Yes,High,Postgraduate,8.5,4,3,46.8
194,Female,17,6.6,56.0,39.1,20,6.5,1.9,6.4,Yes,High,Graduate,24.8,6,2,65.5
195,Male,21,3.5,56.3,78.0,5,6.1,7.4,2.3,No,Medium,Postgraduate,14.9,8,3,52.8
196,Female,24,1.2,72.2,61.4,20,8.5,4.7,4.6,No,Medium,Postgraduate,15.6,9,1,67.4
197,Male,19,3.4,63.1,55.1,7,4.6,6.7,2.3,Yes,Low,Postgraduate,8.0,8,9,44.7
198,Female,22,4.5,90.6,81.4,7,7.1,7.9,3.0,Yes,High,Postgraduate,11.2,3,3,62.0
199,Male,24,4.8,61.4,94.7,15,6.9,2.2,0.7,Yes,Medium,Postgraduate,6.8,1,4,69.0
200,Female,18,1.5,87.3,92.9,10,4.8,2.0,5.1,No,High,Postgraduate,12.5,3,2,60.4
201,Female,20,1.3,68.6,43.6,5,7.8,4.1,4.7,Yes,Medium,Graduate,22.3,8,6,33.8
202,Male,18,2.7,63.0,35.1,18,6.3,8.0,6.8,No,Low,Graduate,22.6,1,3,45.7
203,Male,20,2.3,99.2,45.6,2,8.2,5.7,5.2,Yes,Medium,Graduate,23.8,6,8,34.8
204,Male,24,5.9,57.2,62.6,13,8.9,7.2,3.7,Yes,Low,Graduate,3.1,7,6,66.6
205,Male,22,6.8,68.3,55.1,3,4.8,2.2,2.9,No,High,High School,13.5,2,9,55.2
206,Female,21,5.4,82.3,62.4,1,5.0,2.4,1.7,Yes,Low,High School,12.4,9,9,53.9
207,Male,20,4.6,77.1,38.4,0,6.4,3.1,4.8,Yes,High,Graduate,29.3,10,8,43.6
208,Female,22,4.1,60.2,84.4,15,6.7,5.6,1.1,Yes,Medium,High School,8.6,9,7,65.1
209,Male,17,4.0,65.2,51.9,1,5.2,5.9,1.1,No,High,Graduate,29.0,6,9,40.1
210,Male,18,5.7,97.1,71.1,7,6.6,1.6,6.4,No,Low,High School,29.2,1,9,58.0
211,Male,18,6.6,60.7,61.7,13,5.4,6.8,1.5,No,High,Graduate,17.0,10,5,72.2
212,Male,18,6.9,78.4,92.8,0,8.0,5.4,3.9,Yes,High,High School,23.8,7,2,74.4
213,Male,23,7.0,94.6,90.3,8,6.2,4.4,4.5,Yes,Medium,Graduate,21.0,1,3,74.2
214,Male,20,0.9,76.4,51.9,11,4.6,6.7,2.5,Yes,Medium,Postgraduate,13.9,5,8,41.8
215,Female,17,6.7,67.1,61.3,20,4.9,4.1,6.4,Yes,Low,Graduate,21.6,7,8,75.3
216,Male,22,3.5,90.1,68.0,18,4.6,2.3,5.9,Yes,Medium,Graduate,24.9,1,4,56.1
217,Female,19,4.3,83.6,42.8,0,5.6,4.4,3.4,No,High,Postgraduate,3.6,8,10,44.2
218,Male,24,0.7,57.2,88.8,6,8.4,5.5,4.9,Yes,High,High School,18.4,5,7,41.3
219,Male,24,0.6,66.4,85.7,9,7.7,6.0,2.3,No,High,Postgraduate,24.9,7,6,48.0
220,Female,22,3.5,59.6,67.2,11,7.0,5.2,2.3,No,Medium,Postgraduate,21.6,2,8,43.4
221,Male,17,7.2,68.4,44.4,7,8.5,6.6,5.7,No,Medium,Graduate,27.3,10,7,66.0
222,Female,21,3.5,88.2,71.7,18,8.2,3.4,5.1,Yes,High,Postgraduate,6.3,9,8,72.1
223,Male,21,1.2,60.8,51.3,17,7.9,2.3,4.9,No,Medium,Graduate,8.6,6,2,47.2
224,Female,21,2.7,93.3,64.6,20,7.1,7.6,1.0,No,Low,High School,5.0,4,9,55.3
225,Male,22,2.0,73.4,70.9,14,5.1,7.0,1.7,Yes,Low,Graduate,8.9,2,8,45.6
226,Female,23,6.2,62.6,83.2,15,8.0,6.5,1.3,Yes,Low,Postgraduate,6.8,7,7,73.8
227,Female,21,3.3,55.6,55.3,16,5.4,5.7,4.6,Yes,Low,Graduate,15.6,4,4,55.6
228,Female,22,2.8,57.9,37.9,9,6.6,4.6,3.9,Yes,Low,Graduate,1.6,7,3,44.4
229,Female,17,2.2,99.3,48.3,0,7.2,2.2,2.9,Yes,High,High School,20.0,1,7,37.9
230,Male,21,0.6,86.0,61.3,12,5.1,2.8,5.1,Yes,Medium,High School,15.8,4,1,46.5
231,Female,21,5.1,67.7,84.4,15,5.4,2.4,2.2,Yes,Low,Postgraduate,15.4,9,4,75.6
232,Male,18,2.1,97.0,55.8,0,4.6,1.6,1.2,Yes,Medium,Postgraduate,7.7,10,8,40.7
233,Male,18,7.9,68.3,64.2,3,8.2,7.1,6.0,Yes,Low,High School,20.2,6,6,64.6
234,Female,24,1.8,71.1,62.6,19,5.7,6.1,2.9,No,Medium,Postgraduate,25.7,6,3,55.0
235,Female,24,6.5,84.2,85.2,3,5.1,6.1,6.9,Yes,High,Graduate,23.6,3,2,67.1
236,Female,17,5.1,93.8,90.4,4,6.7,4.4,6.3,Yes,High,Graduate,16.1,8,1,69.7
237,Male,17,5.7,82.8,62.3,7,6.7,5.6,4.7,Yes,High,Graduate,25.7,3,9,59.7
238,Male,18,7.0,58.4,66.0,7,6.0,2.9,3.8,No,Medium,Postgraduate,14.0,9,7,66.8
239,Male,21,6.9,75.1,42.5,15,7.9,1.1,3.1,Yes,High,Postgraduate,14.2,1,9,59.7
240,Male,17,3.1,92.1,86.4,14,6.0,6.4,4.4,No,Medium,Postgraduate,29.0,6,8,60.7
241,Male,20,2.7,78.5,79.2,1,8.5,4.4,5.8,Yes,Medium,High School,14.3,7,2,51.0
242,Male,24,6.4,87.3,41.8,13,4.7,5.4,4.9,Yes,High,Postgraduate,2.4,2,8,57.7
243,Female,23,7.5,92.7,65.4,16,8.0,7.4,5.0,No,High,Postgraduate,23.1,3,3,76.5
244,Female,20,2.6,98.4,96.1,14,8.1,2.0,4.4,Yes,Low,Postgraduate,21.7,9,5,76.6
